,method,bias.strength,occupancy,sim,true.breadth,cor.all.pearson,cor.all.spearman,cor.native.pearson,cor.native.spearman,pred.native.over.0.5,test.auc,test.max.kappa,test.max.tss,train.auc,train.max.kappa,train.max.tss,true.native.over.0.5
1,bc,0,0.179361179,bias_0_rep_5,3079,0.304297179,0.234909586,0.526718826,0.474193474,10,0.708928571,0.199780461,0.392857143,0.670429453,0.137088464,0.397188049,511
2,bc,0,0.379357485,bias_0_rep_14,1695,0.561367793,0.30244662,0.49193596,0.516573146,1,0.735618115,0.251490884,0.451652387,0.74866692,0.180796986,0.483162518,555
3,bc,0,0.394207755,bias_0_rep_13,4819,0.316579369,0.359790278,0.14883915,0.180694751,15,0.44018724,0.025792418,0.057558946,0.620826255,0.08757232,0.279596977,1647
4,bc,0,0.409754224,bias_0_rep_8,3122,0.555888482,0.383383588,0.306649014,0.369767733,18,0.57935049,0.078378378,0.215686275,0.712289124,0.157130063,0.439698492,1067
5,bc,0,0.432717678,bias_0_rep_4,5062,0.454660694,0.431124785,0.402861848,0.398608911,0,0.643125,0.127659574,0.38,0.640398438,0.098834346,0.37625,1804
6,bc,0,0.453215548,bias_0_rep_16,14052,0.225790422,0.337427598,0.206914098,0.317067273,0,0.503089431,0.037361158,0.180487805,0.701013688,0.13844399,0.426415094,6413
7,bc,0,0.457184976,bias_0_rep_20,15364,0.223332616,0.343831775,0.242961725,0.348160199,0,0.671,0.228456914,0.35,0.736117188,0.225352113,0.43,7133
8,bc,0,0.467141556,bias_0_rep_3,17713,0.317597158,0.493924381,0.099425372,0.19284961,30,0.534653465,0.07358156,0.097359736,0.597622104,0.093584461,0.209273183,8722
9,bc,0,0.485461387,bias_0_rep_9,21790,0.08229581,-0.295230728,0.011175383,-0.335797277,342,0.478267169,0.021710698,0.031874819,0.60506266,0.079102141,0.269761606,11353
10,bc,0,0.48752867,bias_0_rep_17,6790,0.393458702,0.402404873,0.386658999,0.457880656,41,0.525596878,0.048821549,0.146464646,0.6767856,0.119189212,0.350374065,3401
11,bc,0,0.504071199,bias_0_rep_19,5301,0.501250016,0.467899016,0.2585629,0.247365333,9,0.615875,0.127527216,0.28,0.604109375,0.093346574,0.25125,2662
12,bc,0,0.51537355,bias_0_rep_12,20833,0.160732364,-0.08057654,0.153075242,-0.076096116,331,0.597881262,0.092820181,0.252482896,0.543198396,0.052463982,0.240348692,11465
13,bc,0,0.569787986,bias_0_rep_15,1604,0.342647387,0.203291804,-0.145304505,-0.236954968,3,0.810421576,0.294548786,0.616129877,0.82432516,0.266166532,0.663329161,645
14,bc,0,0.571090047,bias_0_rep_10,933,0.39114011,0.133628743,0.425835639,0.340804507,4,0.866197183,0.390085331,0.691021127,0.889967532,0.495720021,0.781818182,241
15,bc,0,0.588980716,bias_0_rep_7,6338,0.281020481,0.377874945,-0.102219879,-0.062722832,24,0.716177444,0.249584027,0.402560141,0.738965891,0.163101604,0.469489415,3207
16,bc,0,0.589824121,bias_0_rep_6,5741,0.297718315,0.384582763,-0.002776842,-0.028259696,14,0.673625,0.206896552,0.355,0.801601563,0.269827586,0.5325,2817
17,bc,0,0.649733775,bias_0_rep_11,7129,0.431584607,0.484495837,0.595318248,0.703537968,60,0.571782178,0.074593382,0.158415842,0.574905251,0.067651823,0.26566416,4515
18,bc,0,0.910785619,bias_0_rep_18,1896,0.533288656,0.316033317,0.268686446,0.339410308,10,0.722337006,0.243697479,0.358585859,0.721817252,0.175897919,0.417705736,684
19,bc,0,1,bias_0_rep_1,3112,0.770384208,0.665169694,0.770384208,0.665169694,63,0.524340394,0.062547557,0.175027871,0.560631097,0.083592694,0.154165036,2717
20,bc,0,1,bias_0_rep_2,23828,0.090130355,0.019352924,0.090130355,0.019352924,473,0.500625,0.171232877,0.16,0.535585938,0.049798303,0.22375,24849
21,bc,0.1,0.234875445,bias_0.1_rep_3,1903,0.318552979,0.161232122,0.176818306,0.190366427,0,0.687162162,0.311073671,0.548918919,0.806936354,0.339721663,0.703883495,264
22,bc,0.1,0.280124224,bias_0.1_rep_5,2947,0.278648067,0.224760433,0.330527205,0.439328804,4,0.752931119,0.244410737,0.487542745,0.837706997,0.298483491,0.640990371,451
23,bc,0.1,0.32335958,bias_0.1_rep_7,7380,0.287276916,0.279388372,0.183251386,0.248864873,0,0.651840046,0.158389262,0.341929875,0.711289323,0.191070256,0.412797992,1232
24,bc,0.1,0.362670574,bias_0.1_rep_17,10434,0.319663385,0.425024873,0.320575515,0.342281681,25,0.70122631,0.289264414,0.379412858,0.641496717,0.129574679,0.277543448,3960
25,bc,0.1,0.394469895,bias_0.1_rep_20,18043,0.14609304,-0.022703513,-0.06797014,-0.442884483,0,0.626603823,0.127877238,0.308457711,0.646185819,0.096522398,0.365456821,7233
26,bc,0.1,0.399289291,bias_0.1_rep_13,6883,0.374699097,0.408853399,0.415876066,0.644950233,10,0.638549892,0.103596853,0.264656616,0.592155375,0.069961907,0.270911361,2472
27,bc,0.1,0.416479401,bias_0.1_rep_6,1890,0.262804983,0.165583644,0.112339625,0.047801213,6,0.822115385,0.317476732,0.612179487,0.876477847,0.369469027,0.738636364,556
28,bc,0.1,0.456852318,bias_0.1_rep_10,11369,0.321355218,0.512262211,0.288977675,0.514181457,13,0.72504065,0.197238659,0.404878049,0.734857566,0.206551093,0.423603404,4897
29,bc,0.1,0.466063978,bias_0.1_rep_12,7097,0.528246229,0.533930179,0.358132632,0.320620976,21,0.396270139,0.003221909,0.003531229,0.573862626,0.059067028,0.264009963,3351
30,bc,0.1,0.468181818,bias_0.1_rep_19,7329,0.401785461,0.445437069,0.390056341,0.457730632,74,0.611031347,0.093951094,0.262024408,0.649781128,0.105125977,0.29463171,2884
31,bc,0.1,0.503938658,bias_0.1_rep_15,20997,-0.39166432,-0.620390656,-0.569584624,-0.731417446,137,0.544554455,0.124354561,0.158965897,0.538747784,0.062404871,0.263157895,12027
32,bc,0.1,0.504789767,bias_0.1_rep_14,17727,0.335499993,0.46520328,0.308699906,0.375432172,181,0.432465239,0.026867628,0.041491944,0.585539616,0.073313783,0.311332503,8800
33,bc,0.1,0.532438479,bias_0.1_rep_8,3703,0.53223671,0.396003738,0.222702849,0.194769294,34,0.665641026,0.163091866,0.413333333,0.719966874,0.130895298,0.453416149,1190
34,bc,0.1,0.595930233,bias_0.1_rep_9,916,0.437913843,0.133046982,0.138559571,0.133516318,1,0.727350427,0.296106003,0.467948718,0.871051927,0.466670556,0.749464668,205
35,bc,0.1,0.597111701,bias_0.1_rep_4,7658,0.467906765,0.492485506,0.55000055,0.696640685,17,0.568771259,0.109263658,0.215136054,0.643804006,0.094263409,0.317753339,4052
36,bc,0.1,0.648326279,bias_0.1_rep_16,3266,0.389840231,0.311276286,-0.139472063,-0.282415937,22,0.752508361,0.181627042,0.455592716,0.738364424,0.179849196,0.525851198,1685
37,bc,0.1,0.776536313,bias_0.1_rep_11,1152,0.400836044,0.119646256,0.144288443,0.160959937,2,0.834971645,0.484076433,0.660869565,0.88981588,0.520676203,0.79535865,139
38,bc,0.1,0.842883549,bias_0.1_rep_18,1337,0.456147294,0.176470637,0.204291851,0.131882423,7,0.812849162,0.280753602,0.670391061,0.861771866,0.352640416,0.726760563,456
39,bc,0.1,1,bias_0.1_rep_1,21276,0.246000944,0.077218781,0.246000944,0.077218781,381,0.446682121,0.035778175,0.057954216,0.569424498,0.059992192,0.239648683,21979
40,bc,0.1,1,bias_0.1_rep_2,1144,0.354459017,0.426788482,0.354459017,0.426788482,50,0.657581108,0.270698577,0.369454866,0.664448254,0.160193156,0.293186266,606
41,bc,0.2,0.203584229,bias_0.2_rep_20,3711,0.386025131,0.30562531,0.61851386,0.706342505,10,0.631487889,0.174442191,0.258823529,0.729394339,0.207606973,0.475262369,568
42,bc,0.2,0.393700787,bias_0.2_rep_18,2680,0.518918193,0.357553712,0.382263438,0.373803824,32,0.58530749,0.119809689,0.15936827,0.64619384,0.144724289,0.245942572,900
43,bc,0.2,0.425500733,bias_0.2_rep_10,3540,0.35782306,0.252923034,0.354641836,0.409627213,8,0.760841837,0.300254453,0.423469388,0.75198023,0.186533035,0.458955224,871
44,bc,0.2,0.430559258,bias_0.2_rep_14,16213,0.281152739,0.381114668,0.186723795,0.215981345,1,0.553625,0.206896552,0.165,0.6394375,0.137874436,0.2725,8076
45,bc,0.2,0.431268684,bias_0.2_rep_11,16993,0.28208604,0.372030748,0.30159267,0.364652507,12,0.65270936,0.181014425,0.287742683,0.560263639,0.06269281,0.229611041,8223
46,bc,0.2,0.443064182,bias_0.2_rep_16,14623,0.097336807,0.035297669,-0.2398376,-0.458281735,26,0.524630542,0.063645888,0.140828745,0.728416804,0.188924836,0.465495609,7062
47,bc,0.2,0.45786418,bias_0.2_rep_13,11267,0.178529532,0.252216841,-0.13152496,-0.161680135,3,0.782237033,0.256063433,0.484207476,0.807644631,0.264478832,0.509410289,5205
48,bc,0.2,0.466043049,bias_0.2_rep_4,19937,0.240944191,0.245277896,0.287004229,0.395617162,27,0.555,0.086005831,0.295,0.6728125,0.11588785,0.4075,9765
49,bc,0.2,0.494662876,bias_0.2_rep_17,17301,0.341680668,0.548544802,0.487184303,0.67234531,264,0.591039506,0.102638808,0.272125359,0.560228688,0.06049936,0.268991283,9222
50,bc,0.2,0.50084317,bias_0.2_rep_12,2442,0.235684143,0.137926543,0.240316236,0.141445638,6,0.7788,0.411439114,0.534,0.868314243,0.445450214,0.74501992,594
51,bc,0.2,0.50843767,bias_0.2_rep_15,2760,0.32262092,0.203342285,0.120292265,0.066018652,0,0.809922852,0.377745242,0.490555999,0.847109324,0.347247679,0.654646325,934
52,bc,0.2,0.517581983,bias_0.2_rep_9,3358,0.456176667,0.313909657,0.126879792,0.042454891,0,0.712580349,0.207650273,0.429292929,0.77604866,0.225046928,0.620947631,1310
53,bc,0.2,0.520304323,bias_0.2_rep_3,19309,0.23666959,0.167278881,0.185622728,0.089723231,203,0.552884615,0.114002478,0.240384615,0.547649793,0.0625,0.25,10737
54,bc,0.2,0.550988554,bias_0.2_rep_7,2402,0.547670682,0.339477797,0.323404867,0.364916007,1,0.460446247,0.038710513,0.173283106,0.656732325,0.103209177,0.378920954,1059
55,bc,0.2,0.686968513,bias_0.2_rep_5,4636,0.292386163,0.324745492,0.047598281,0.056059246,12,0.796625,0.305263158,0.58,0.79840625,0.247664959,0.62625,2989
56,bc,0.2,0.717275156,bias_0.2_rep_19,3261,0.460248206,0.332471112,0.249478965,0.268559079,28,0.613992496,0.114308342,0.236592364,0.740971357,0.1796875,0.469489415,1611
57,bc,0.2,0.752112676,bias_0.2_rep_8,1555,0.426099414,0.175503482,0.272169424,0.249923597,0,0.701754386,0.285825849,0.389154705,0.74124723,0.25397595,0.497435897,267
58,bc,0.2,0.97068819,bias_0.2_rep_6,4482,0.331063571,0.318314532,-0.056038357,-0.036913458,1,0.742849285,0.287347561,0.417491749,0.796213094,0.235994505,0.563909774,2285
59,bc,0.2,1,bias_0.2_rep_1,842,0.38739646,0.544018424,0.38739646,0.544018424,38,0.622807018,0.121987952,0.252945797,0.705519245,0.209348174,0.335419274,102
60,bc,0.2,1,bias_0.2_rep_2,1307,0.417151127,0.627404768,0.417151127,0.627404768,69,0.673170732,0.094065402,0.378861789,0.6499963,0.14149639,0.290196078,398
61,bc,0.3,0.161220044,bias_0.3_rep_18,2192,0.258787346,0.134141868,0.542874588,0.652965028,1,0.693409091,0.304225352,0.490909091,0.85765625,0.48,0.75,296
62,bc,0.3,0.166970803,bias_0.3_rep_9,1318,0.299290373,0.138925193,0.408345592,0.300271342,4,0.721998659,0.304835924,0.473507713,0.755991996,0.326313234,0.525773196,183
63,bc,0.3,0.183431953,bias_0.3_rep_15,4156,0.315060178,0.318708216,0.141400149,0.203421893,23,0.634090909,0.101104294,0.312121212,0.694431818,0.14339059,0.436363636,558
64,bc,0.3,0.252529511,bias_0.3_rep_20,5247,0.481556885,0.412560729,0.443056384,0.349704512,1,0.552404882,0.078917183,0.178990189,0.655541333,0.11102674,0.347066167,1198
65,bc,0.3,0.322048611,bias_0.3_rep_14,1622,0.412998085,0.20996443,0.261390897,0.271620582,0,0.703842941,0.205163043,0.369674185,0.751045739,0.239811324,0.475161987,371
66,bc,0.3,0.36562671,bias_0.3_rep_17,2156,0.467705593,0.310193519,0.276619933,0.265059791,2,0.50225,0.032967033,0.075,0.721382813,0.168030333,0.52625,668
67,bc,0.3,0.404208005,bias_0.3_rep_13,10940,0.133485061,0.16271896,-0.072303917,-0.029880407,6,0.796721814,0.210350584,0.549019608,0.742552046,0.182787399,0.513819095,4726
68,bc,0.3,0.40763576,bias_0.3_rep_12,20145,-0.012838478,-0.267269765,-0.191189385,-0.469717681,28,0.632102645,0.180269695,0.322597539,0.72913673,0.216177179,0.469336671,8595
69,bc,0.3,0.411411411,bias_0.3_rep_16,1137,0.303328463,0.116492305,0.61278797,0.686828466,1,0.805555556,0.489835431,0.595555556,0.84529016,0.511184452,0.703448276,274
70,bc,0.3,0.473831776,bias_0.3_rep_7,2281,0.348350857,0.183099492,0.19172257,0.088668753,5,0.666935484,0.23032967,0.338172043,0.85384097,0.303314749,0.688679245,507
71,bc,0.3,0.507739938,bias_0.3_rep_3,999,0.372990757,0.15222944,0.133092182,0.131562016,6,0.658544304,0.205235602,0.343670886,0.761882962,0.302069737,0.515923567,164
72,bc,0.3,0.50967368,bias_0.3_rep_6,21333,0.237565655,0.310316633,0.307999686,0.317061802,100,0.489958067,0.060058594,0.061796513,0.551762061,0.058002617,0.260273973,11433
73,bc,0.3,0.511805027,bias_0.3_rep_8,17515,0.357793519,0.572153581,0.232243615,0.089277738,274,0.621671258,0.098360656,0.282828283,0.518183707,0.045189954,0.210723192,8736
74,bc,0.3,0.517669954,bias_0.3_rep_10,21869,0.22744036,0.500478272,0.222889373,0.389769697,157,0.577708907,0.097938144,0.202020202,0.545479251,0.053535797,0.241895262,11704
75,bc,0.3,0.560800757,bias_0.3_rep_11,7960,0.440392984,0.500079773,0.427609639,0.50905568,32,0.516032544,0.032862496,0.128499641,0.621509506,0.087624109,0.34082397,4146
76,bc,0.3,0.606153846,bias_0.3_rep_5,2351,0.308583093,0.181383776,-0.097012142,-0.192759867,0,0.86952381,0.358333333,0.7,0.888361463,0.413333333,0.770886076,788
77,bc,0.3,0.638172439,bias_0.3_rep_19,2659,0.342923755,0.297155102,-0.024469299,0.026707717,7,0.838570306,0.351497769,0.577638125,0.888827083,0.462356759,0.695746226,866
78,bc,0.3,0.889317393,bias_0.3_rep_4,3484,0.315449309,0.337618918,-0.176671405,-0.219387386,16,0.736585366,0.259860789,0.406504065,0.809263781,0.276756362,0.518460969,2306
79,bc,0.3,1,bias_0.3_rep_1,391,-0.039083253,0.082035157,-0.039083253,0.082035157,390,0.462321232,0.013157895,0.018151815,0.583990464,0.063386944,0.248120301,3
80,bc,0.3,1,bias_0.3_rep_2,1961,0.629102628,0.590699586,0.629102628,0.590699586,21,0.472681359,0.123376623,0.131313131,0.646812456,0.147080204,0.252222009,1300
81,bc,0.4,0.2615625,bias_0.4_rep_15,12954,0.216605117,0.259706451,0.281827999,0.170975582,3,0.556703398,0.06779661,0.161616162,0.683283778,0.177101968,0.309226933,3348
82,bc,0.4,0.274590164,bias_0.4_rep_19,2190,0.338975995,0.181253689,0.312394684,0.330617914,5,0.759858443,0.334007415,0.489720256,0.796540865,0.268510985,0.592105263,335
83,bc,0.4,0.276863375,bias_0.4_rep_3,7835,0.450113152,0.4733556,0.304663428,0.279454269,0,0.678492849,0.193717277,0.363586359,0.742420075,0.207769533,0.525062657,2069
84,bc,0.4,0.425448185,bias_0.4_rep_4,2696,0.573248137,0.381275557,0.361813574,0.363955706,29,0.677333922,0.18284653,0.336570294,0.684155197,0.150545455,0.358655044,973
85,bc,0.4,0.442979412,bias_0.4_rep_6,9215,0.466122492,0.565384954,0.473245763,0.547825302,163,0.570479778,0.094512195,0.222442506,0.596422104,0.095689715,0.260545906,3830
86,bc,0.4,0.453306411,bias_0.4_rep_8,2954,0.511136271,0.341910506,0.477977379,0.44205699,17,0.646789966,0.150313152,0.31292517,0.746579602,0.228611501,0.457711443,898
87,bc,0.4,0.470692718,bias_0.4_rep_5,3063,0.34434598,0.21519789,0.127390621,-0.005998609,0,0.843548387,0.302083333,0.634408602,0.837317713,0.315811896,0.643454039,1060
88,bc,0.4,0.47839446,bias_0.4_rep_13,19664,0.25382758,0.323726228,0.182051502,0.087840466,196,0.494425864,0.052583862,0.141211446,0.640554565,0.106889222,0.350567465,9809
89,bc,0.4,0.482701264,bias_0.4_rep_11,4150,0.350108529,0.262541828,0.360068866,0.273732872,27,0.55922865,0.078947368,0.171717172,0.768719228,0.188260217,0.563591022,1451
90,bc,0.4,0.487590178,bias_0.4_rep_17,14900,0.450718804,0.546316784,0.44378094,0.454184333,81,0.62279978,0.143968872,0.256875688,0.576593924,0.064691445,0.270676692,7367
91,bc,0.4,0.492553191,bias_0.4_rep_16,3857,0.293862156,0.244632574,0.139891407,-0.064178209,0,0.796067107,0.24702381,0.572057206,0.890832264,0.41015366,0.671679198,1389
92,bc,0.4,0.513922105,bias_0.4_rep_7,12036,0.328869646,0.358553107,0.201035728,0.066656941,6,0.563629222,0.05334015,0.180413721,0.619887514,0.108829279,0.329161452,6017
93,bc,0.4,0.517423337,bias_0.4_rep_14,18940,0.360447395,0.599250168,0.414560266,0.590814795,78,0.540977961,0.063926941,0.141414141,0.608478803,0.093209921,0.290523691,10394
94,bc,0.4,0.791821561,bias_0.4_rep_20,2675,0.298907586,0.230948702,-0.055991445,-0.029811481,6,0.815076923,0.348358017,0.622564103,0.837805383,0.294735388,0.611180124,1491
95,bc,0.4,0.902462121,bias_0.4_rep_18,1484,0.627459811,0.290348865,0.533897129,0.636003818,31,0.726011007,0.181547619,0.419717636,0.70187582,0.143101167,0.481897628,953
96,bc,0.4,0.924107143,bias_0.4_rep_12,1169,0.289524707,0.143537263,-0.126192375,-0.240559319,2,0.953018139,0.708593518,0.84180791,0.933109986,0.511851597,0.834757835,621
97,bc,0.4,0.966442953,bias_0.4_rep_10,558,0.488616806,0.18078146,-0.074244962,-0.042271902,6,0.687252964,0.258474961,0.403903162,0.863563912,0.328795602,0.712691771,288
